EE #,Job Title,Current Employment Status,Project Code,Original Hire Date,Last Hire Date,LOS in Days,Termination Date,Reason Code,Left,Fired
82820,Laborer Renewables,T,55086,01/11/2023,01/11/2023,97,04/18/2023,Other Job,1,0
83057,Operator Renewables,T,55090,01/10/2023,01/10/2023,157,06/16/2023,Resignation,1,0
87897,Operator Renewables,T,55107,12/13/2022,10/17/2023,3,10/20/2023,Other Job,1,0
88352,Operator Renewables,T,55093,02/07/2023,02/07/2023,58,04/06/2023,Personal/Family,1,0
89272,Foreman Renewables,T,55090,04/04/2023,04/04/2023,44,05/18/2023,Other Job,1,0
90441,Operator Renewables,A,55091,09/03/2024,09/03/2024,177,,,0,0
92657,Operator Renewables,T,55113,10/09/2024,10/09/2024,26,11/04/2024,Other Job,1,0
93612,Operator Renewables,T,55085,12/28/2022,12/28/2022,233,08/18/2023,Personal/Family,1,0
95803,Operator Renewables,A,55150,07/09/2024,07/09/2024,233,,,0,0
95879,Mechanic Field,T,55075,09/06/2016,09/13/2021,39,10/22/2021,Resignation,1,0
97424,Admin Manager 3,T,,03/06/2017,05/16/2022,165,10/28/2022,Retirement/Early Retire,1,0
101075,Field Engineer,A,55137,01/06/2020,09/09/2024,171,,,0,0
102306,HR Recruiter,T,,06/18/2018,05/16/2022,935,12/06/2024,Resignation,1,0
110113,Database Developer,T,,11/13/2018,10/02/2023,280,07/08/2024,No Call-No Show,0,1
118455,Foreman Renewables,T,55093,04/04/2023,04/04/2023,319,02/17/2024,Policy Viol-Drug/Alcohol,0,1
122117,Survey Tech Renewables,L,55113,02/01/2024,02/01/2024,392,,,0,0
122189,Project Controller,A,55099,01/20/2025,01/20/2025,38,,,0,0
122400,HR Manager,T,,03/30/2020,01/02/2023,214,08/04/2023,Moving,1,0
177313,Vice President,A,,05/11/2020,03/28/2022,"1,067",,,0,0
180359,Estimating Manager,A,,02/16/2016,09/12/2022,899,,,0,0
200025,Engineering Manager,A,,03/29/2017,03/29/2017,"2,892",,,0,0
200267,,T,,08/24/2017,08/24/2017,224,04/05/2018,Resignation,1,0
200612,,T,,09/29/2016,11/19/2016,629,08/10/2018,Resignation,1,0
202956,,T,,08/21/2017,08/21/2017,298,06/15/2018,Resignation,1,0
203618,,T,41736,11/07/2016,11/07/2016,892,04/18/2019,Resignation,1,0
204183,Operator Renewables,T,55103,12/12/2023,12/12/2023,111,04/01/2024,Other Job,1,0
204735,Truck Driver Renewables,T,55120,01/16/2023,06/12/2023,609,02/10/2025,Resignation,1,0
206900,WH/Yard Laborer,T,,04/26/2022,04/26/2022,114,08/18/2022,Resignation,1,0
207212,Operator Renewables,A,55138,02/24/2025,02/24/2025,3,,,0,0
207322,Laborer Renewables,T,,11/08/2022,11/08/2022,47,12/25/2022,Transferred out,0,0
62183,HSE Manager,T,55719,10/10/2022,10/10/2022,130,02/17/2023,Resignation,1,0
74826,Operations Director,T,,01/12/2009,07/05/2021,270,04/01/2022,Other Job,1,0
83614,Operator Renewables,T,55107,10/17/2023,10/17/2023,18,11/04/2023,No Call-No Show,0,1
87361,Operator Renewables,T,55117,07/09/2024,07/09/2024,163,12/19/2024,Lack of Work,0,0
88821,Operator Renewables,T,55302,06/01/2023,06/01/2023,197,12/15/2023,Resignation,1,0
93086,Operator Renewables,T,55311,04/24/2023,04/24/2023,10,05/04/2023,Resignation,1,0
93623,Operator Renewables,T,55097,06/06/2024,06/06/2024,117,10/01/2024,Personal/Family,1,0
96086,Laborer App Renewables,T,55117,07/09/2024,07/09/2024,116,11/02/2024,Seasonal Layoff,0,1
96388,Gen Foreman Renewables,T,55305,09/20/2022,09/20/2022,171,03/10/2023,Resignation,1,0
97776,Field Engineer,T,55079,05/18/2021,01/11/2022,171,07/01/2022,Other Job,1,0
97805,Project Scheduler,T,55076,05/30/2017,05/30/2017,"1,976",10/27/2022,Resignation,1,0
98830,Laborer Renewables,T,55085,06/02/2022,06/02/2022,23,06/25/2022,Resignation,1,0
117444,HR Recruiter,A,,03/18/2019,03/07/2022,"1,088",,,0,0
121593,Laborer Renewables,T,55117,07/09/2024,07/09/2024,163,12/19/2024,Lack of Work,0,0
122890,Laborer Renewables,T,55085,05/04/2022,05/04/2022,63,07/06/2022,Other Job,1,0
177675,Operator Renewables,T,55093,02/07/2023,02/07/2023,94,05/12/2023,Other Job,1,0
179465,Laborer Renewables,T,55306,03/30/2023,03/30/2023,21,04/20/2023,Resignation,1,0
200528,,T,2043017,09/23/2016,09/23/2016,521,02/26/2018,Resignation,1,0
200548,Site Manager,A,55126,03/06/2016,07/15/2021,"1,323",,,0,0
201276,Operations Director,A,,01/30/2012,10/12/2020,"1,599",,,0,0
201339,Project Engineer,T,55073,04/10/2017,05/04/2020,662,02/25/2022,Resignation,1,0
202710,,T,,12/19/2016,12/19/2016,414,02/06/2018,Discharge,0,1
203389,Operator Renewables,T,55087,06/15/2015,07/21/2021,581,02/22/2023,Personal/Family,1,0
207534,Operator Renewables,T,55089,03/20/2024,03/20/2024,58,05/17/2024,Resignation,1,0
208807,Field Admin,T,55090,10/31/2022,10/31/2022,550,05/03/2024,Other Job,1,0
209628,Vice President,A,,09/14/2009,09/14/2009,"5,645",,,0,0
210306,Operator Renewables,T,55089,02/13/2024,02/13/2024,6,02/19/2024,No Call-No Show,0,1
210397,,T,,05/08/2017,05/08/2017,543,11/02/2018,Resignation,1,0
11228,Operator Renewables,T,55085,01/13/2022,04/26/2023,7,05/03/2023,Personal/Family,1,0
92334,Operator Renewables,T,55089,11/28/2023,11/28/2023,231,07/16/2024,Resignation,1,0
98831,Operator Renewables,T,55081,02/07/2018,10/21/2021,199,05/08/2022,Lack of Work,0,0
121003,HR Recruiter,T,,12/16/2019,05/09/2022,424,07/07/2023,Resignation,1,0
121151,Laborer Renewables,T,55073,12/07/2020,12/07/2020,128,04/14/2021,Lack of Work,0,0
121672,Laborer Renewables,T,55117,07/09/2024,07/09/2024,163,12/19/2024,Lack of Work,0,0
121703,Operator Renewables,T,55097,06/06/2024,06/06/2024,120,10/04/2024,Personal/Family,1,0
181913,Superintendent Renewbls,T,55105,04/05/2021,01/09/2023,546,07/08/2024,Other Job,1,0
200553,,T,55061,01/27/2017,09/25/2017,655,07/12/2019,Resignation,1,0
202171,,T,,03/04/2013,11/19/2016,818,02/15/2019,Discharge,0,1
202600,,T,,09/22/2014,09/17/2019,353,09/04/2020,Resignation,1,0
203550,Laborer Renewables,T,55072,11/20/2002,03/11/2021,6,03/17/2021,Discharge,0,1
204761,Operator Renewables,T,55307,03/30/2023,03/30/2023,133,08/10/2023,Resignation,1,0
205095,Laborer Renewables,T,55101,06/11/2024,06/11/2024,3,06/14/2024,Other Job,1,0
207423,Operator Renewables,A,55138,07/31/2024,07/31/2024,211,,,0,0
212762,Laborer Renewables,T,55072,06/06/2014,11/02/2020,99,02/09/2021,Discharge,0,1
213514,WH/Yard Laborer,T,55097,08/02/2023,08/02/2023,419,09/24/2024,Retirement/Early Retire,1,0
214214,Superintendent Renewbls 2,A,55138,09/10/2012,04/11/2022,"1,053",,,0,0
214939,,T,55072,08/06/2011,11/02/2020,4,11/06/2020,Resignation,1,0
216057,Laborer Renewables,T,55071,02/18/2013,02/01/2021,39,03/12/2021,Resignation,1,0
216470,WH/Yard Foreman,T,,04/26/2022,04/26/2022,243,12/25/2022,Transferred out,0,0
216919,Operator Renewables,T,55071,07/07/2015,11/10/2020,112,03/02/2021,Lack of Work,0,0
217283,,T,55072,12/04/2013,02/01/2021,8,02/09/2021,Resignation,1,0
221042,Foreman Renewables,A,55138,09/15/2022,09/15/2022,896,,,0,0
221312,Gen Foreman Renewables,A,55138,06/30/2015,07/13/2021,"1,325",,,0,0
223277,Operator Renewables,T,55072,01/20/2010,07/18/2021,0,07/18/2021,Transferred out,0,0
223988,Laborer Renewables,T,,11/07/2022,11/07/2022,48,12/25/2022,Transferred out,0,0
224393,Superintendent Renewbls,A,55150,01/09/2023,01/09/2023,780,,,0,0
207461,WH/Yard Foreman,T,,04/26/2022,04/26/2022,243,12/25/2022,Transferred out,0,0
213745,Laborer Renewables,T,55105,05/21/2024,05/21/2024,229,01/05/2025,Lack of Work,0,0
213825,Operator Renewables,T,55086,10/19/2022,10/19/2022,145,03/13/2023,Personal/Family,1,0
217039,HR Manager,T,,12/02/2004,05/30/2022,347,05/12/2023,Position Eliminated,0,1
218741,,T,55071,03/24/2015,11/16/2020,30,12/16/2020,Resignation,1,0
219909,Process Director,A,,11/30/2021,11/30/2021,"1,185",,,0,0
220815,Foreman Renewables,A,55086,10/12/2022,10/12/2022,869,,,0,0
222490,HR Recruiter,T,,01/03/2017,05/09/2022,70,07/18/2022,Resignation,1,0
223764,Superintendent Renewbls,T,55094,09/11/2023,09/11/2023,349,08/25/2024,Resignation,1,0
226091,Laborer Renewables,T,55094,05/18/2023,09/17/2024,60,11/16/2024,Lack of Work,0,0
227029,Laborer Renewables,T,55094,06/20/2023,01/10/2024,281,10/17/2024,Other Job,1,0
227478,Operator Renewables,T,55076,12/01/2014,10/26/2021,20,11/15/2021,Resignation,1,0
230020,Laborer Renewables,T,55093,03/07/2023,03/07/2023,5,03/12/2023,No Call-No Show,0,1
230061,Laborer Renewables,T,55073,04/23/2003,01/19/2021,40,02/28/2021,Resignation,1,0
230615,Laborer Renewables,T,55087,03/06/2013,12/09/2021,"1,129",01/11/2025,Policy Viol-Safety,0,1
231052,Operator Renewables,T,55087,10/11/2022,10/11/2022,23,11/03/2022,Personal/Family,1,0
231762,Admin Specialist,T,,05/19/2014,02/14/2022,174,08/07/2022,Transferred out,0,0
232497,Operator Renewables,T,55109,05/14/2024,05/14/2024,76,07/29/2024,Personal/Family,1,0
233407,General Superintendent,L,,05/03/2022,05/03/2022,"1,031",,,0,0
234322,,T,,05/05/2014,01/15/2018,60,03/16/2018,Resignation,1,0
234368,,T,20471,06/02/2014,01/15/2018,492,05/22/2019,Resignation,1,0
234442,,T,,06/03/2013,03/01/2015,"1,216",06/29/2018,Resignation,1,0
234492,,T,4128016,08/21/2017,08/21/2017,168,02/05/2018,Discharge,0,1
234542,,T,4128016,07/20/2016,07/20/2016,565,02/05/2018,Discharge,0,1
234544,,T,11717,03/27/2006,02/01/2016,"1,157",04/03/2019,Discharge,0,1
234575,HSE Manager,A,55076,07/31/2017,07/31/2017,"2,768",,,0,0
234707,,T,,10/31/2016,10/31/2016,634,07/27/2018,Resignation,1,0
234905,,T,41740,08/12/2004,05/10/2018,326,04/01/2019,Discharge,0,1
234911,,T,,06/24/2013,01/22/2018,333,12/21/2018,Resignation,1,0
234945,,T,4124016,09/06/2011,04/11/2016,"1,068",03/15/2019,Resignation,1,0
210636,Operator Renewables,T,55076,12/13/2011,01/16/2018,"1,452",01/07/2022,Lack of Work,0,0
211859,Operator Renewables,A,55138,02/24/2025,02/24/2025,3,,,0,0
211899,Operator Renewables,A,55138,08/14/2024,08/14/2024,197,,,0,0
212309,Electrician Renewables,T,55072,12/18/2012,03/15/2021,45,04/29/2021,Lack of Work,0,0
