ee_number,job_title,current_employment_status,project_code,original_hire_date,last_hire_date,los_in_days,termination_date,reason_code,left,fired,flsa_binary,Days_Since_Promotion,Days_Since_Demotion,Days_Since_Rehire,Days_Since_TransferIn,Days_Since_TransferOut,Days_Since_NewHire
82820,Laborer Renewables,T,55086,01/11/23,01/11/23,97,04/18/2023,Other Job,1,0,1,NoEvent,NoEvent,NoEvent,NoEvent,NoEvent,720
83057,Operator Renewables,T,55090,01/10/23,01/10/23,157,06/16/2023,Resignation,1,0,1,NoEvent,NoEvent,NoEvent,NoEvent,NoEvent,721
87897,Operator Renewables,T,55107,12/13/2022,10/17/2023,3,10/20/2023,Other Job,1,0,1,NoEvent,NoEvent,441,NoEvent,NoEvent,749
88352,Operator Renewables,T,55093,02/07/23,02/07/23,58,04/06/23,Personal/Family,1,0,1,NoEvent,NoEvent,NoEvent,NoEvent,NoEvent,693
89272,Foreman Renewables,T,55090,04/04/23,04/04/23,44,05/18/2023,Other Job,1,0,1,NoEvent,NoEvent,NoEvent,NoEvent,NoEvent,637
90441,Operator Renewables,A,55091,09/03/24,09/03/24,177,Unknown,Unknown,0,0,1,NoEvent,NoEvent,NoEvent,NoEvent,NoEvent,119
92657,Operator Renewables,T,55113,10/09/24,10/09/24,26,11/04/24,Other Job,1,0,1,NoEvent,NoEvent,NoEvent,NoEvent,NoEvent,83
93612,Operator Renewables,T,55085,12/28/2022,12/28/2022,233,08/18/2023,Personal/Family,1,0,1,NoEvent,NoEvent,NoEvent,617,NoEvent,734
95803,Operator Renewables,A,55150,07/09/24,07/09/24,233,Unknown,Unknown,0,0,1,NoEvent,NoEvent,NoEvent,-35,NoEvent,NoEvent
95879,Mechanic Field,T,55075,09/06/16,09/13/2021,39,10/22/2021,Resignation,1,0,1,NoEvent,NoEvent,NoEvent,1205,NoEvent,NoEvent
97424,Admin Manager 3,T,Not Applicable,03/06/17,05/16/2022,165,10/28/2022,Retirement/Early Retire,1,0,1,NoEvent,NoEvent,NoEvent,960,NoEvent,NoEvent
101075,Field Engineer,A,55137,01/06/20,09/09/24,171,Unknown,Unknown,0,0,1,NoEvent,NoEvent,NoEvent,113,NoEvent,NoEvent
102306,HR Recruiter,T,Not Applicable,06/18/2018,05/16/2022,935,12/06/24,Resignation,1,0,1,NoEvent,NoEvent,NoEvent,960,NoEvent,NoEvent
110113,Database Developer,T,Not Applicable,11/13/2018,10/02/23,280,07/08/24,No Call-No Show,0,1,1,NoEvent,NoEvent,NoEvent,456,NoEvent,NoEvent
118455,Foreman Renewables,T,55093,04/04/23,04/04/23,319,02/17/2024,Policy Viol-Drug/Alcohol,0,1,1,484,NoEvent,NoEvent,441,NoEvent,637
122117,Survey Tech Renewables,L,55113,02/01/24,02/01/24,392,Unknown,Unknown,0,0,1,134,NoEvent,NoEvent,55,NoEvent,NoEvent
122189,Project Controller,A,55099,01/20/2025,01/20/2025,38,Unknown,Unknown,0,0,1,NoEvent,NoEvent,NoEvent,NoEvent,NoEvent,-20
122400,HR Manager,T,Not Applicable,03/30/2020,01/02/23,214,08/04/23,Moving,1,0,1,NoEvent,NoEvent,NoEvent,729,NoEvent,NoEvent
177313,Vice President,A,Not Applicable,05/11/20,03/28/2022,"1,067",Unknown,Unknown,0,0,1,456,NoEvent,NoEvent,1009,NoEvent,NoEvent
177313,Vice President,A,Not Applicable,05/11/20,03/28/2022,"1,067",Unknown,Unknown,0,0,1,155,NoEvent,NoEvent,1009,NoEvent,NoEvent
177313,Vice President,A,Not Applicable,05/11/20,03/28/2022,"1,067",Unknown,Unknown,0,0,1,29,NoEvent,NoEvent,1009,NoEvent,NoEvent
180359,Estimating Manager,A,Not Applicable,02/16/2016,09/12/22,899,Unknown,Unknown,0,0,1,281,NoEvent,NoEvent,841,NoEvent,NoEvent
200025,Engineering Manager,A,Not Applicable,03/29/2017,03/29/2017,"2,892",Unknown,Unknown,0,0,1,624,NoEvent,NoEvent,NoEvent,NoEvent,2834
200267,Unknown,T,Not Applicable,08/24/2017,08/24/2017,224,04/05/18,Resignation,1,0,1,NoEvent,NoEvent,NoEvent,NoEvent,NoEvent,2686
200612,Unknown,T,Not Applicable,09/29/2016,11/19/2016,629,08/10/18,Resignation,1,0,1,NoEvent,NoEvent,NoEvent,NoEvent,NoEvent,2964
202956,Unknown,T,Not Applicable,08/21/2017,08/21/2017,298,06/15/2018,Resignation,1,0,1,NoEvent,NoEvent,NoEvent,NoEvent,NoEvent,2689
203618,Unknown,T,41736,11/07/16,11/07/16,892,04/18/2019,Resignation,1,0,1,NoEvent,NoEvent,NoEvent,NoEvent,NoEvent,2976
204183,Operator Renewables,T,55103,12/12/23,12/12/23,111,04/01/24,Other Job,1,0,1,NoEvent,NoEvent,NoEvent,NoEvent,NoEvent,NoEvent
204735,Truck Driver Renewables,T,55120,01/16/2023,06/12/23,609,02/10/25,Resignation,1,0,1,NoEvent,NoEvent,568,36,NoEvent,715
206900,WH/Yard Laborer,T,Not Applicable,04/26/2022,04/26/2022,114,08/18/2022,Resignation,1,0,1,NoEvent,NoEvent,NoEvent,NoEvent,NoEvent,NoEvent
207212,Operator Renewables,A,55138,02/24/2025,02/24/2025,3,Unknown,Unknown,0,0,1,NoEvent,NoEvent,NoEvent,NoEvent,NoEvent,-55
207322,Laborer Renewables,T,Not Applicable,11/08/22,11/08/22,47,12/25/2022,Transferred out,0,0,1,NoEvent,NoEvent,NoEvent,NoEvent,737,784
62183,HSE Manager,T,55719,10/10/22,10/10/22,130,02/17/2023,Resignation,1,0,1,NoEvent,NoEvent,NoEvent,NoEvent,NoEvent,813
74826,Operations Director,T,Not Applicable,01/12/09,07/05/21,270,04/01/22,Other Job,1,0,1,NoEvent,NoEvent,NoEvent,1275,NoEvent,NoEvent
83614,Operator Renewables,T,55107,10/17/2023,10/17/2023,18,11/04/23,No Call-No Show,0,1,1,NoEvent,NoEvent,NoEvent,NoEvent,NoEvent,441
87361,Operator Renewables,T,55117,07/09/24,07/09/24,163,12/19/2024,Lack of Work,0,0,1,NoEvent,NoEvent,NoEvent,NoEvent,NoEvent,175
88821,Operator Renewables,T,55302,06/01/23,06/01/23,197,12/15/2023,Resignation,1,0,1,NoEvent,NoEvent,NoEvent,NoEvent,NoEvent,579
93086,Operator Renewables,T,55311,04/24/2023,04/24/2023,10,05/04/23,Resignation,1,0,1,NoEvent,NoEvent,NoEvent,NoEvent,NoEvent,617
93623,Operator Renewables,T,55097,06/06/24,06/06/24,117,10/01/24,Personal/Family,1,0,1,NoEvent,NoEvent,NoEvent,NoEvent,NoEvent,208
96086,Laborer App Renewables,T,55117,07/09/24,07/09/24,116,11/02/24,Seasonal Layoff,0,1,1,NoEvent,NoEvent,NoEvent,NoEvent,NoEvent,175
96388,Gen Foreman Renewables,T,55305,09/20/2022,09/20/2022,171,03/10/23,Resignation,1,0,1,729,NoEvent,NoEvent,728,NoEvent,833
97776,Field Engineer,T,55079,05/18/2021,01/11/22,171,07/01/22,Other Job,1,0,1,NoEvent,NoEvent,1085,NoEvent,NoEvent,1323
97805,Project Scheduler,T,55076,05/30/2017,05/30/2017,"1,976",10/27/2022,Resignation,1,0,1,NoEvent,NoEvent,NoEvent,NoEvent,NoEvent,2772
98830,Laborer Renewables,T,55085,06/02/22,06/02/22,23,06/25/2022,Resignation,1,0,1,NoEvent,NoEvent,NoEvent,NoEvent,NoEvent,943
117444,HR Recruiter,A,Not Applicable,03/18/2019,03/07/22,"1,088",Unknown,Unknown,0,0,1,NoEvent,NoEvent,NoEvent,NoEvent,NoEvent,NoEvent
121593,Laborer Renewables,T,55117,07/09/24,07/09/24,163,12/19/2024,Lack of Work,0,0,1,NoEvent,NoEvent,NoEvent,NoEvent,NoEvent,175
122890,Laborer Renewables,T,55085,05/04/22,05/04/22,63,07/06/22,Other Job,1,0,1,NoEvent,NoEvent,NoEvent,929,NoEvent,972
177675,Operator Renewables,T,55093,02/07/23,02/07/23,94,05/12/23,Other Job,1,0,1,680,NoEvent,NoEvent,NoEvent,NoEvent,693
179465,Laborer Renewables,T,55306,03/30/2023,03/30/2023,21,04/20/2023,Resignation,1,0,1,NoEvent,NoEvent,NoEvent,NoEvent,NoEvent,642
200528,Unknown,T,2043017,09/23/2016,09/23/2016,521,02/26/2018,Resignation,1,0,1,NoEvent,NoEvent,NoEvent,NoEvent,NoEvent,3021
200548,Site Manager,A,55126,03/06/16,07/15/2021,"1,323",Unknown,Unknown,0,0,1,820,NoEvent,NoEvent,708,NoEvent,1457
200548,Site Manager,A,55126,03/06/16,07/15/2021,"1,323",Unknown,Unknown,0,0,1,820,NoEvent,NoEvent,582,NoEvent,1457
200548,Site Manager,A,55126,03/06/16,07/15/2021,"1,323",Unknown,Unknown,0,0,1,820,NoEvent,NoEvent,449,NoEvent,1457
200548,Site Manager,A,55126,03/06/16,07/15/2021,"1,323",Unknown,Unknown,0,0,1,820,NoEvent,NoEvent,-20,NoEvent,1457
200548,Site Manager,A,55126,03/06/16,07/15/2021,"1,323",Unknown,Unknown,0,0,1,820,NoEvent,NoEvent,918,NoEvent,1457
200548,Site Manager,A,55126,03/06/16,07/15/2021,"1,323",Unknown,Unknown,0,0,1,575,NoEvent,NoEvent,708,NoEvent,1457
200548,Site Manager,A,55126,03/06/16,07/15/2021,"1,323",Unknown,Unknown,0,0,1,575,NoEvent,NoEvent,582,NoEvent,1457
200548,Site Manager,A,55126,03/06/16,07/15/2021,"1,323",Unknown,Unknown,0,0,1,575,NoEvent,NoEvent,449,NoEvent,1457
200548,Site Manager,A,55126,03/06/16,07/15/2021,"1,323",Unknown,Unknown,0,0,1,575,NoEvent,NoEvent,-20,NoEvent,1457
200548,Site Manager,A,55126,03/06/16,07/15/2021,"1,323",Unknown,Unknown,0,0,1,575,NoEvent,NoEvent,918,NoEvent,1457
200548,Site Manager,A,55126,03/06/16,07/15/2021,"1,323",Unknown,Unknown,0,0,1,442,NoEvent,NoEvent,708,NoEvent,1457
200548,Site Manager,A,55126,03/06/16,07/15/2021,"1,323",Unknown,Unknown,0,0,1,442,NoEvent,NoEvent,582,NoEvent,1457
200548,Site Manager,A,55126,03/06/16,07/15/2021,"1,323",Unknown,Unknown,0,0,1,442,NoEvent,NoEvent,449,NoEvent,1457
200548,Site Manager,A,55126,03/06/16,07/15/2021,"1,323",Unknown,Unknown,0,0,1,442,NoEvent,NoEvent,-20,NoEvent,1457
200548,Site Manager,A,55126,03/06/16,07/15/2021,"1,323",Unknown,Unknown,0,0,1,442,NoEvent,NoEvent,918,NoEvent,1457
200548,Site Manager,A,55126,03/06/16,07/15/2021,"1,323",Unknown,Unknown,0,0,1,260,NoEvent,NoEvent,708,NoEvent,1457
200548,Site Manager,A,55126,03/06/16,07/15/2021,"1,323",Unknown,Unknown,0,0,1,260,NoEvent,NoEvent,582,NoEvent,1457
200548,Site Manager,A,55126,03/06/16,07/15/2021,"1,323",Unknown,Unknown,0,0,1,260,NoEvent,NoEvent,449,NoEvent,1457
200548,Site Manager,A,55126,03/06/16,07/15/2021,"1,323",Unknown,Unknown,0,0,1,260,NoEvent,NoEvent,-20,NoEvent,1457
200548,Site Manager,A,55126,03/06/16,07/15/2021,"1,323",Unknown,Unknown,0,0,1,260,NoEvent,NoEvent,918,NoEvent,1457
201276,Operations Director,A,Not Applicable,01/30/2012,10/12/20,"1,599",Unknown,Unknown,0,0,1,918,NoEvent,NoEvent,NoEvent,NoEvent,1541
201276,Operations Director,A,Not Applicable,01/30/2012,10/12/20,"1,599",Unknown,Unknown,0,0,1,134,NoEvent,NoEvent,NoEvent,NoEvent,1541
201339,Project Engineer,T,55073,04/10/17,05/04/20,662,02/25/2022,Resignation,1,0,1,NoEvent,NoEvent,NoEvent,NoEvent,NoEvent,1702
202710,Unknown,T,Not Applicable,12/19/2016,12/19/2016,414,02/06/18,Discharge,0,1,1,NoEvent,NoEvent,NoEvent,NoEvent,NoEvent,2934
203389,Operator Renewables,T,55087,06/15/2015,07/21/2021,581,02/22/2023,Personal/Family,1,0,1,NoEvent,NoEvent,1259,1163,NoEvent,1708
203389,Operator Renewables,T,55087,06/15/2015,07/21/2021,581,02/22/2023,Personal/Family,1,0,1,NoEvent,NoEvent,1259,1044,NoEvent,1708
203389,Operator Renewables,T,55087,06/15/2015,07/21/2021,581,02/22/2023,Personal/Family,1,0,1,NoEvent,NoEvent,1259,876,NoEvent,1708
207534,Operator Renewables,T,55089,03/20/2024,03/20/2024,58,05/17/2024,Resignation,1,0,1,NoEvent,NoEvent,NoEvent,NoEvent,NoEvent,286
208807,Field Admin,T,55090,10/31/2022,10/31/2022,550,05/03/24,Other Job,1,0,1,NoEvent,NoEvent,NoEvent,NoEvent,NoEvent,NoEvent
209628,Vice President,A,Not Applicable,09/14/2009,09/14/2009,"5,645",Unknown,Unknown,0,0,1,NoEvent,NoEvent,NoEvent,NoEvent,NoEvent,5587
210306,Operator Renewables,T,55089,02/13/2024,02/13/2024,6,02/19/2024,No Call-No Show,0,1,1,NoEvent,NoEvent,NoEvent,NoEvent,NoEvent,322
210397,Unknown,T,Not Applicable,05/08/17,05/08/17,543,11/02/18,Resignation,1,0,1,NoEvent,NoEvent,NoEvent,NoEvent,NoEvent,2794
11228,Operator Renewables,T,55085,01/13/2022,04/26/2023,7,05/03/23,Personal/Family,1,0,1,841,NoEvent,615,801,NoEvent,1083
92334,Operator Renewables,T,55089,11/28/2023,11/28/2023,231,07/16/2024,Resignation,1,0,1,NoEvent,NoEvent,NoEvent,NoEvent,NoEvent,399
98831,Operator Renewables,T,55081,02/07/18,10/21/2021,199,05/08/22,Lack of Work,0,0,1,NoEvent,NoEvent,NoEvent,1167,NoEvent,NoEvent
121003,HR Recruiter,T,Not Applicable,12/16/2019,05/09/22,424,07/07/23,Resignation,1,0,1,NoEvent,NoEvent,NoEvent,967,NoEvent,NoEvent
121151,Laborer Renewables,T,55073,12/07/20,12/07/20,128,04/14/2021,Lack of Work,0,0,1,NoEvent,NoEvent,NoEvent,NoEvent,NoEvent,1485
121672,Laborer Renewables,T,55117,07/09/24,07/09/24,163,12/19/2024,Lack of Work,0,0,1,NoEvent,NoEvent,NoEvent,NoEvent,NoEvent,174
121703,Operator Renewables,T,55097,06/06/24,06/06/24,120,10/04/24,Personal/Family,1,0,1,NoEvent,NoEvent,NoEvent,NoEvent,NoEvent,208
181913,Superintendent Renewbls,T,55105,04/05/21,01/09/23,546,07/08/24,Other Job,1,0,1,NoEvent,NoEvent,NoEvent,722,NoEvent,NoEvent
181913,Superintendent Renewbls,T,55105,04/05/21,01/09/23,546,07/08/24,Other Job,1,0,1,NoEvent,NoEvent,NoEvent,666,NoEvent,NoEvent
181913,Superintendent Renewbls,T,55105,04/05/21,01/09/23,546,07/08/24,Other Job,1,0,1,NoEvent,NoEvent,NoEvent,414,NoEvent,NoEvent
181913,Superintendent Renewbls,T,55105,04/05/21,01/09/23,546,07/08/24,Other Job,1,0,1,NoEvent,NoEvent,NoEvent,267,NoEvent,NoEvent
200553,Unknown,T,55061,01/27/2017,09/25/2017,655,07/12/19,Resignation,1,0,1,NoEvent,NoEvent,NoEvent,NoEvent,NoEvent,2654
202171,Unknown,T,Not Applicable,03/04/13,11/19/2016,818,02/15/2019,Discharge,0,1,1,NoEvent,NoEvent,NoEvent,NoEvent,NoEvent,2964
