EE #,FLSA Category,PR Dept,HireDate,Reason,Craft Class Code,Project Code
234223,Non-Exempt,3000,08/18/2016,New hire,,
259110,Non-Exempt,3000,06/08/2018,New hire,,41723.0
234945,Non-Exempt,3000,04/11/2016,New hire,,4124016.0
259315,Non-Exempt,3000,08/06/2018,New hire,,11752.0
259339,Non-Exempt,3000,08/10/2018,New hire,,
234538,Non-Exempt,3000,06/28/2017,New hire,,4153017.0
248098,Non-Exempt,3000,03/02/2018,New hire,,
234394,Non-Exempt,3000,09/06/2016,New hire,,41722.0
234250,Non-Exempt,3000,01/08/2018,New hire,,
234367,Non-Exempt,3000,07/08/2016,New hire,,20473.0
234362,Non-Exempt,3000,01/14/2018,New hire,,
274511,Non-Exempt,3000,03/18/2019,New hire,,41734.0
236458,Non-Exempt,3000,01/22/2018,New hire,,11713.0
273730,Non-Exempt,3000,01/16/2019,New hire,,20475.0
273274,Non-Exempt,3000,12/07/2018,New hire,,41736.0
234368,Non-Exempt,3000,01/15/2018,New hire,,20471.0
234492,Non-Exempt,3000,08/21/2017,New hire,,4128016.0
234540,Non-Exempt,3000,02/01/2016,New hire,,
234618,Non-Exempt,3000,07/06/2016,New hire,,4128016.0
247989,Non-Exempt,3000,02/05/2018,New hire,,11706.0
273710,Non-Exempt,3000,01/14/2019,New hire,,11731.0
272480,Non-Exempt,3000,10/08/2018,New hire,,
234975,Non-Exempt,3000,01/08/2018,New hire,,41728.0
248399,Non-Exempt,3000,04/13/2018,New hire,,4169017.0
234387,Non-Exempt,3000,10/05/2015,New hire,,41725.0
275033,Non-Exempt,3000,04/29/2019,New hire,,20475.0
234911,Non-Exempt,3000,01/22/2018,New hire,,
259141,Non-Exempt,3000,07/09/2018,New hire,,11691.0
247986,Non-Exempt,3000,02/05/2018,New hire,,11687.0
258974,Non-Exempt,3000,05/18/2018,New hire,,20471.0
234299,Non-Exempt,3000,09/04/2018,New hire,,4169017.0
234493,Non-Exempt,3000,08/09/2016,New hire,,41734.0
272803,Non-Exempt,3000,10/26/2018,New hire,,
272641,Non-Exempt,3000,10/16/2018,New hire,,41734.0
234278,Non-Exempt,3000,01/22/2018,New hire,,4171017.0
234294,Non-Exempt,3000,03/20/2017,New hire,,4169017.0
234348,Non-Exempt,3000,01/22/2019,New hire,,41736.0
234322,Non-Exempt,3000,01/15/2018,New hire,,
234440,Non-Exempt,3000,01/22/2018,New hire,,41730.0
234905,Non-Exempt,3000,05/10/2018,New hire,,41740.0
248094,Non-Exempt,3000,03/02/2018,New hire,,4169017.0
259317,Non-Exempt,3000,08/06/2018,New hire,,11764.0
240340,Non-Exempt,3000,10/31/2016,New hire,,4124016.0
200528,Non-Exempt,3000,09/23/2016,New hire,,2043017.0
234707,Non-Exempt,3000,10/31/2016,New hire,,
248375,Non-Exempt,3000,04/06/2018,New hire,,4169017.0
235569,Non-Exempt,3000,10/18/2017,New hire,,
259310,Non-Exempt,3000,08/03/2018,New hire,,4124016.0
239503,Non-Exempt,3000,03/01/2015,New hire,,41736.0
248091,Non-Exempt,3000,03/02/2018,New hire,,4128016.0
258984,Non-Exempt,3000,05/18/2018,New hire,,41730.0
259312,Non-Exempt,3000,08/03/2018,New hire,,
234529,Non-Exempt,3000,08/21/2017,New hire,,4124016.0
234271,Non-Exempt,3000,03/01/2015,New hire,,41730.0
272251,Non-Exempt,3000,09/24/2018,New hire,,41736.0
248238,Non-Exempt,3000,03/26/2018,New hire,,
234346,Non-Exempt,3000,03/01/2015,New hire,,4169017.0
259253,Non-Exempt,3000,07/23/2018,New hire,,20475.0
234542,Non-Exempt,3000,07/20/2016,New hire,,4128016.0
234389,Non-Exempt,3000,10/05/2015,New hire,,4128016.0
234224,Non-Exempt,3000,01/08/2018,New hire,,
234949,Non-Exempt,3000,01/08/2018,New hire,,2043017.0
240334,Non-Exempt,3000,05/31/2016,New hire,,4169017.0
234296,Non-Exempt,3000,10/10/2016,New hire,,2047017.0
234390,Non-Exempt,3000,05/09/2016,New hire,,
234544,Non-Exempt,3000,02/01/2016,New hire,,11717.0
259080,Non-Exempt,3000,06/01/2018,New hire,,41733.0
234437,Non-Exempt,3000,02/26/2018,New hire,,4124016.0
259137,Non-Exempt,3000,06/20/2018,New hire,,4172017.0
234486,Non-Exempt,3000,02/27/2017,New hire,,
203618,Non-Exempt,3000,11/07/2016,New hire,,41736.0
248183,Non-Exempt,3000,03/14/2018,New hire,,4172017.0
273053,Non-Exempt,3000,11/15/2018,New hire,,4124016.0
234442,Non-Exempt,3000,03/01/2015,New hire,,
273270,Non-Exempt,3000,12/07/2018,New hire,,41736.0
273068,Non-Exempt,3001,11/19/2018,New hire,,
234936,Non-Exempt,3001,03/01/2015,New hire,,
235674,Non-Exempt,3003,05/16/2017,New hire,,
225991,Non-Exempt,3003,06/05/2017,New hire,,
117572,Exempt,3003,02/20/2023,New hire,18-4-S403,
234963,Non-Exempt,3040,03/01/2015,New hire,,
234487,Non-Exempt,3040,07/20/2016,New hire,,
247675,Non-Exempt,3040,11/27/2017,New hire,,
234956,Non-Exempt,3040,01/18/2017,New hire,,
202956,Non-Exempt,3040,08/21/2017,New hire,,
274636,Non-Exempt,4101,08/17/2020,New hire,18-6-A624,
306654,Non-Exempt,4101,04/17/2023,New hire,18-4-S460,
313891,Non-Exempt,4101,10/09/2023,New hire,18-6-A625,
313860,Non-Exempt,4101,09/26/2023,New hire,18-4-A435,
299948,Non-Exempt,4101,09/13/2022,New hire,18-5-S524,
331577,Non-Exempt,4101,02/17/2025,New hire,18-6-A623,
272392,Exempt,4101,09/23/2019,New hire,,
295723,Non-Exempt,4101,05/23/2022,New hire,18-4-S208,
302600,Non-Exempt,4101,11/28/2022,New hire,18-6-A628,
302889,Non-Exempt,4101,12/05/2022,New hire,18-6-A625,
246940,Non-Exempt,4101,09/25/2017,New hire,,
200727,Non-Exempt,4101,02/06/2017,New hire,,
202171,Non-Exempt,4101,11/19/2016,New hire,,
289969,Non-Exempt,4101,09/07/2021,New hire,18-6-A624,
289886,Non-Exempt,4101,08/31/2021,New hire,18-6-A344,
331540,Non-Exempt,4101,02/17/2025,New hire,18-6-A625,
325149,Non-Exempt,4101,08/19/2024,New hire,18-6-A625,
296971,Non-Exempt,4101,07/06/2022,New hire,18-1-S200,
313841,Non-Exempt,4101,09/25/2023,New hire,18-4-A425,
270860,Non-Exempt,4101,04/25/2019,New hire,,55062.0
284090,Non-Exempt,4101,04/27/2021,New hire,18-6-S612,
320317,Non-Exempt,4101,05/13/2024,New hire,18-4-A435,
321974,Non-Exempt,4101,06/17/2024,New hire,18-6-A625,
316703,Non-Exempt,4101,01/08/2024,New hire,18-6-A625,
324423,Non-Exempt,4101,07/10/2024,New hire,18-6-A625,
287650,Non-Exempt,4101,05/25/2021,New hire,18-6-S624,
274287,Non-Exempt,4101,06/08/2020,New hire,,55074.0
314804,Non-Exempt,4101,10/23/2023,New hire,18-4-S501,
295638,Exempt,4101,05/23/2022,New hire,18-1-S169,
303736,Exempt,4101,01/23/2023,New hire,18-4-S460,
248410,Non-Exempt,4101,04/16/2018,New hire,,
292507,Non-Exempt,4101,02/01/2022,New hire,18-6-A625,
