EE #,FLSA Category,PR Dept,Reason,Craft Class Code,Project Code,Promotion Date
274636,Non-Exempt,4101,Promotion,18-6-A624,,2022-08-08
292588,Non-Exempt,4101,Promotion,18-4-S208,,2022-07-04
306654,Exempt,4101,Promotion,18-4-S460,,2024-03-11
289969,Non-Exempt,4101,Promotion,18-6-A624,,2021-12-13
289969,Non-Exempt,4101,Promotion,18-6-A624,,2022-02-07
296971,Non-Exempt,4101,Promotion,18-1-S200,,2022-10-24
284090,Non-Exempt,4101,Promotion,18-6-S612,,2021-08-02
316703,Non-Exempt,4101,Promotion,18-6-A625,,2024-07-15
287650,Exempt,4101,Promotion,18-6-S624,,2022-04-18
287650,Non-Exempt,4101,Promotion,18-6-S624,,2021-08-30
314804,Exempt,4101,Promotion,18-4-S501,,2024-07-15
295638,Exempt,4101,Promotion,18-1-S169,,2025-01-27
274623,Exempt,4102,Promotion,18-1-S109,,2024-03-11
274623,Exempt,4102,Promotion,18-1-S109,,2024-12-02
276537,Exempt,4102,Promotion,18-1-S171,,2024-04-01
308836,Exempt,4102,Promotion,18-1-S109,,2024-03-11
270239,Exempt,4102,Promotion,18-1-S181,,2024-03-07
271380,Exempt,4102,Promotion,18-1-S109,,2024-03-11
271380,Exempt,4102,Promotion,18-1-S109,,2024-12-02
271377,Exempt,4102,Promotion,18-1-S010,,2024-03-11
271377,Exempt,4102,Promotion,18-1-S010,,2024-09-30
289224,Exempt,4103,Promotion,18-4-S420,,2022-04-11
291520,Exempt,4103,Promotion,18-1-S133,,2023-05-15
298573,Exempt,4103,Promotion,18-4-S208,,2023-03-20
282049,Exempt,4103,Promotion,18-4-S420,,2022-05-09
295723,Non-Exempt,4103,Promotion,18-4-S208,,2023-04-17
302183,Non-Exempt,4103,Promotion,18-6-A625,,2023-07-31
314446,Exempt,4103,Promotion,18-1-S133,,2024-05-06
293903,Exempt,4103,Promotion,18-4-S208,,2023-03-20
290980,Exempt,4103,Promotion,18-4-A208,,2023-03-20
302013,Exempt,4104,Promotion,18-2-S230,55143.0,2024-10-21
295155,Non-Exempt,4104,Promotion,18-40-1001,55094.0,2022-09-19
271367,Non-Exempt,4104,Promotion,18-2-3070,55123.0,2023-04-17
271367,Non-Exempt,4104,Promotion,18-2-3070,55123.0,2024-04-15
286089,Non-Exempt,4104,Promotion,18-8-1006,55076.0,2021-10-25
294919,Non-Exempt,4104,Promotion,18-5-5100,55126.0,2023-12-11
305494,Exempt,4104,Promotion,18-2-S230,55723.0,2023-09-11
291838,Non-Exempt,4104,Promotion,18-77-502,55113.0,2022-11-07
321839,Non-Exempt,4104,Promotion,18-796-501,55313.0,2024-09-09
296428,Non-Exempt,4104,Promotion,18-77-101,55113.0,2023-06-26
283194,Non-Exempt,4104,Promotion,18-8-1006,55094.0,2023-01-02
293357,Exempt,4104,Promotion,18-1-S187,55105.0,2022-07-11
294563,Exempt,4104,Promotion,18-2-S231,55812.0,2023-01-16
295586,Non-Exempt,4104,Promotion,18-8-1006,55094.0,2022-05-31
276723,Non-Exempt,4104,Promotion,18-8-1005,,2021-11-15
317414,Non-Exempt,4104,Promotion,18-197-400,55105.0,2024-03-04
309634,Non-Exempt,4104,Promotion,18-197-400,55105.0,2024-01-29
308118,Exempt,4104,Promotion,18-4-S429,55133.0,2024-12-09
279903,Non-Exempt,4104,Promotion,18-2-3110,55076.0,2021-12-06
300180,Non-Exempt,4104,Promotion,18-198-501,55089.0,2023-10-16
310793,Non-Exempt,4104,Promotion,18-745-600,55117.0,2023-08-07
311454,Exempt,4104,Promotion,18-4-S429,55106.0,2024-03-18
311454,Exempt,4104,Promotion,18-4-S429,55106.0,2024-11-12
317069,Non-Exempt,4104,Promotion,18-40-1001,55087.0,2024-03-25
276706,Non-Exempt,4104,Promotion,18-5-5030,55109.0,2023-07-31
276706,Non-Exempt,4104,Promotion,18-5-5030,55109.0,2024-04-22
276725,Non-Exempt,4104,Promotion,18-41-1001,55089.0,2022-09-12
276725,Non-Exempt,4104,Promotion,18-41-1001,55089.0,2023-08-28
307531,Non-Exempt,4104,Promotion,18-41-1002,55123.0,2023-07-31
292370,Non-Exempt,4104,Promotion,18-77-501,55113.0,2022-10-17
306295,Non-Exempt,4104,Promotion,18-41-1001,55123.0,2023-11-20
304604,Non-Exempt,4104,Promotion,18-197-400,55105.0,2023-05-08
289821,Non-Exempt,4104,Promotion,18-2-S268,55087.0,2022-02-21
289821,Non-Exempt,4104,Promotion,18-2-S268,55087.0,2022-10-03
310145,Non-Exempt,4104,Promotion,18-77-703,55138.0,2025-02-03
320630,Non-Exempt,4104,Promotion,18-5-5020,55138.0,2024-12-02
320630,Non-Exempt,4104,Promotion,18-5-5020,55138.0,2024-12-02
301523,Non-Exempt,4104,Promotion,18-77-102,55143.0,2023-07-24
301523,Non-Exempt,4104,Promotion,18-77-102,55143.0,2024-04-22
290945,Exempt,4104,Promotion,18-2-S265,55109.0,2023-11-13
290945,Exempt,4104,Promotion,18-2-S265,55109.0,2024-09-02
290945,Non-Exempt,4104,Promotion,18-2-S265,55109.0,2022-02-28
290943,Non-Exempt,4104,Promotion,18-8-1005,55087.0,2023-01-02
290943,Non-Exempt,4104,Promotion,18-8-1005,55087.0,2023-11-20
288500,Non-Exempt,4104,Promotion,18-2-3060,55085.0,2022-01-17
288500,Non-Exempt,4104,Promotion,18-2-3060,55085.0,2022-05-09
323133,Non-Exempt,4104,Promotion,18-5-5040,55109.0,2024-09-16
317910,Non-Exempt,4104,Promotion,18-2-3050,55310.0,2024-04-08
317856,Non-Exempt,4104,Promotion,18-197-400,55105.0,2024-03-04
321627,Non-Exempt,4104,Promotion,18-73-1003,55313.0,2024-10-21
309101,Non-Exempt,4104,Promotion,18-40-1002,55100.0,2023-07-31
291763,Non-Exempt,4104,Promotion,18-41-1003,55076.0,2022-02-14
282782,Non-Exempt,4104,Promotion,18-2-3210,55105.0,2024-03-04
291121,Non-Exempt,4104,Promotion,18-77-402,55106.0,2022-05-02
296172,Non-Exempt,4104,Promotion,18-5-5100,55085.0,2022-12-05
300184,Non-Exempt,4104,Promotion,18-198-600,55091.0,2023-04-17
300184,Non-Exempt,4104,Promotion,18-198-600,55091.0,2023-06-12
300184,Non-Exempt,4104,Promotion,18-198-600,55091.0,2024-03-04
318826,Non-Exempt,4104,Promotion,18-30-1001,55091.0,2024-12-16
210286,Non-Exempt,4104,Promotion,18-8-1006,55081.0,2022-02-21
282324,Exempt,4104,Promotion,18-2-S270,55094.0,2022-07-11
310367,Non-Exempt,4104,Promotion,18-765-601,55303.0,2023-09-04
281888,Exempt,4104,Promotion,18-2-S230,55126.0,2023-05-22
281888,Exempt,4104,Promotion,18-2-S230,55126.0,2023-08-07
286802,Non-Exempt,4104,Promotion,18-2-3070,55093.0,2022-08-15
296048,Non-Exempt,4104,Promotion,18-2-3230,55302.0,2023-12-11
276346,Non-Exempt,4104,Promotion,18-41-1002,55094.0,2022-08-08
299094,Exempt,4104,Promotion,18-2-S269,55113.0,2024-08-20
308578,Non-Exempt,4104,Promotion,18-47-400,55113.0,2023-08-28
302078,Non-Exempt,4104,Promotion,18-8-1006,55086.0,2023-07-31
271624,Non-Exempt,4104,Promotion,18-77-701,55143.0,2023-05-15
294023,Non-Exempt,4104,Promotion,18-77-400,55109.0,2023-01-02
310658,Non-Exempt,4104,Promotion,18-8-1003,55101.0,2023-09-18
310658,Non-Exempt,4104,Promotion,18-8-1003,55101.0,2024-02-12
291015,Non-Exempt,4104,Promotion,18-2-3230,55094.0,2023-06-05
291015,Non-Exempt,4104,Promotion,18-2-3230,55094.0,2024-05-27
319636,Non-Exempt,4104,Promotion,18-2-3230,55123.0,2024-06-10
300315,Non-Exempt,4104,Promotion,18-797-100,55105.0,2023-08-14
287715,Non-Exempt,4104,Promotion,18-757-502,55074.0,2022-03-28
272942,Exempt,4104,Promotion,18-2-S232,55102.0,2024-01-22
298548,Non-Exempt,4104,Promotion,18-2-3070,55123.0,2024-06-24
295533,Non-Exempt,4104,Promotion,18-40-1001,55076.0,2022-08-22
304113,Non-Exempt,4104,Promotion,18-77-400,55137.0,2023-10-16
299573,Non-Exempt,4104,Promotion,18-41-1003,55086.0,2022-10-03
293663,Non-Exempt,4104,Promotion,18-8-1005,55105.0,2023-07-17
293663,Non-Exempt,4104,Promotion,18-8-1005,55105.0,2023-07-31
317252,Non-Exempt,4104,Promotion,18-5-5010,55105.0,2024-02-11
317252,Non-Exempt,4104,Promotion,18-5-5010,55105.0,2024-05-06
286702,Non-Exempt,4104,Promotion,18-2-3230,55091.0,2021-11-15
286702,Non-Exempt,4104,Promotion,18-2-3230,55091.0,2023-10-23
296327,Exempt,4104,Promotion,18-4-S444,55123.0,2024-11-18
306782,Non-Exempt,4104,Promotion,18-8-1006,55090.0,2023-06-26
306726,Non-Exempt,4104,Promotion,18-197-400,55105.0,2023-08-28
307270,Non-Exempt,4104,Promotion,18-2-3110,55105.0,2023-08-21
307238,Non-Exempt,4104,Promotion,18-17-402,55138.0,2023-05-15
307238,Non-Exempt,4104,Promotion,18-17-402,55138.0,2023-10-02
307238,Non-Exempt,4104,Promotion,18-17-402,55138.0,2024-04-01
319908,Non-Exempt,4104,Promotion,18-5-5020,55105.0,2024-12-23
259118,Exempt,4104,Promotion,18-2-S266,55100.0,2022-09-05
307873,Non-Exempt,4104,Promotion,18-41-1003,55090.0,2023-07-17
292768,Non-Exempt,4104,Promotion,18-2-3230,55123.0,2022-02-02
292768,Non-Exempt,4104,Promotion,18-2-3230,55123.0,2025-01-06
305872,Non-Exempt,4104,Promotion,18-40-1001,55101.0,2024-08-19
319769,Non-Exempt,4104,Promotion,18-745-800,55117.0,2024-04-08
302458,Non-Exempt,4104,Promotion,18-41-1003,55126.0,2023-01-23
317014,Non-Exempt,4104,Promotion,18-41-1001,55086.0,2024-10-14
317332,Non-Exempt,4104,Promotion,18-40-1002,55086.0,2024-10-14
283402,Non-Exempt,4104,Promotion,18-2-3220,55091.0,2022-03-21
293779,Non-Exempt,4104,Promotion,18-41-1002,55091.0,2023-07-17
296444,Exempt,4104,Promotion,18-2-S264,55801.0,2023-02-13
296444,Non-Exempt,4104,Promotion,18-2-S264,55801.0,2022-10-17
300102,Exempt,4104,Promotion,18-2-S302,,2024-06-24
310591,Non-Exempt,4104,Promotion,18-40-1003,55096.0,2024-03-04
274853,Exempt,4104,Promotion,18-2-S271,55113.0,2024-10-14
311493,Exempt,4104,Promotion,18-4-S444,55122.0,2025-02-03
259185,Non-Exempt,4104,Promotion,18-197-400,55105.0,2022-01-24
259185,Non-Exempt,4104,Promotion,18-197-400,55105.0,2023-07-24
305112,Non-Exempt,4104,Promotion,18-2-3210,55120.0,2023-08-14
305112,Non-Exempt,4104,Promotion,18-2-3210,55120.0,2024-05-20
316707,Non-Exempt,4104,Promotion,18-5-5160,55091.0,2024-03-25
323529,Non-Exempt,4104,Promotion,18-8-1006,55123.0,2025-02-17
306337,Non-Exempt,4104,Promotion,18-5-5060,55126.0,2024-08-12
303197,Non-Exempt,4104,Promotion,18-64-1003,55143.0,2023-04-03
201276,Exempt,4104,Promotion,18-1-S169,,2022-06-27
201276,Exempt,4104,Promotion,18-1-S169,,2024-08-19
272775,Exempt,4104,Promotion,18-2-S232,55105.0,2023-05-22
317736,Non-Exempt,4104,Promotion,18-745-600,55117.0,2024-06-10
288025,Non-Exempt,4104,Promotion,18-40-1001,55075.0,2022-03-14
286481,Non-Exempt,4104,Promotion,18-74-703,55138.0,2022-04-25
286481,Non-Exempt,4104,Promotion,18-74-703,55138.0,2023-06-05
282582,Exempt,4104,Promotion,18-2-S268,55096.0,2021-11-08
320590,Non-Exempt,4104,Promotion,18-197-600,55105.0,2024-08-12
291892,Non-Exempt,4104,Promotion,18-74-101,55109.0,2022-04-25
301687,Non-Exempt,4104,Promotion,18-6-A622,55096.0,2023-04-24
283045,Non-Exempt,4104,Promotion,18-41-1003,55801.0,2022-04-25
316575,Exempt,4104,Promotion,18-1-S190,,2025-01-20
307130,Non-Exempt,4104,Promotion,18-47-102,55138.0,2023-07-17
307130,Non-Exempt,4104,Promotion,18-47-102,55138.0,2023-09-18
307130,Non-Exempt,4104,Promotion,18-47-102,55138.0,2024-04-08
308820,Non-Exempt,4104,Promotion,18-47-401,55138.0,2023-07-17
308820,Non-Exempt,4104,Promotion,18-47-401,55138.0,2023-09-18
