EE #,FLSA Category,PR Dept,Craft Class Code,Project Code,RehireDate,Reason
276537,Exempt,4101,18-1-S171,,05/23/2022,Rehire
317687,Non-Exempt,4104,18-47-500,55109.0,05/29/2024,Rehire
312623,Non-Exempt,4104,18-708-500,55301.0,02/07/2024,Rehire
312623,Non-Exempt,4104,18-708-500,55301.0,04/09/2024,Rehire
286358,Non-Exempt,4104,18-73-1000,55101.0,06/26/2023,Rehire
286358,Non-Exempt,4104,18-73-1000,55101.0,08/22/2023,Rehire
286388,Non-Exempt,4104,18-30-1003,55087.0,12/08/2022,Rehire
295512,Non-Exempt,4104,18-30-1002,55075.0,11/14/2022,Rehire
324392,Non-Exempt,4104,18-40-1003,55123.0,01/08/2025,Rehire
321640,Non-Exempt,4104,18-30-1002,55313.0,01/20/2025,Rehire
322480,Non-Exempt,4104,18-745-100,55117.0,10/23/2024,Rehire
302770,Non-Exempt,4104,18-30-1002,55311.0,05/23/2023,Rehire
286159,Non-Exempt,4104,18-30-1000,55086.0,12/22/2022,Rehire
303190,Non-Exempt,4104,18-8-1004,55089.0,09/26/2023,Rehire
304650,Non-Exempt,4104,18-74-400,55109.0,08/27/2024,Rehire
304651,Non-Exempt,4104,18-74-400,55109.0,08/27/2024,Rehire
305987,Non-Exempt,4104,18-47-401,55138.0,02/03/2025,Rehire
238209,Non-Exempt,4104,18-8-1005,55120.0,04/30/2024,Rehire
294919,Non-Exempt,4104,18-5-5100,55126.0,03/07/2023,Rehire
286814,Non-Exempt,4104,18-795-400,55109.0,06/18/2024,Rehire
301486,Non-Exempt,4104,18-30-1002,55074.0,03/05/2024,Rehire
310425,Non-Exempt,4104,18-197-400,55105.0,02/08/2024,Rehire
295571,Non-Exempt,4104,18-73-1003,55720.0,11/28/2023,Rehire
323056,Non-Exempt,4104,18-47-400,55113.0,02/26/2025,Rehire
321839,Non-Exempt,4104,18-796-501,55313.0,02/17/2025,Rehire
310809,Non-Exempt,4104,18-752-100,55302.0,01/03/2024,Rehire
283194,Non-Exempt,4104,18-8-1006,55094.0,05/12/2022,Rehire
283194,Non-Exempt,4104,18-8-1006,55094.0,02/08/2024,Rehire
291020,Non-Exempt,4104,18-40-1002,55079.0,04/26/2022,Rehire
310112,Non-Exempt,4104,18-30-1001,55101.0,11/14/2023,Rehire
301462,Non-Exempt,4104,18-41-1003,55085.0,07/20/2023,Rehire
