ee_#,flsa_category,pr_dept,craft_class_code,project_code,effective_date,reason
291822,Non-Exempt,4101,18-2-S205,Unknown,1/24/2022,Transferred in
94620,Exempt,4102,18-1-S109,Unknown,5/15/2023,Transferred in
225967,Exempt,4102,18-1-S109,Unknown,2/14/2022,Transferred in
300102,Exempt,4103,18-2-S302,Unknown,2/10/2025,Transfer
302889,Non-Exempt,4103,18-6-A625,Unknown,2/10/2025,Transfer
319974,Non-Exempt,4104,18-40-1003,55100,8/19/2024,Transfer
319974,Non-Exempt,4104,18-40-1003,55100,10/21/2024,Transfer
315523,Non-Exempt,4104,18-47-400,55113,5/8/2024,Transfer
315523,Non-Exempt,4104,18-47-400,55113,11/11/2024,Transfer
317687,Non-Exempt,4104,18-47-500,55109,3/20/2024,Transfer
317687,Non-Exempt,4104,18-47-500,55109,7/30/2024,Transfer
302013,Exempt,4104,18-2-S230,55143,9/4/2023,Transfer
302013,Exempt,4104,18-2-S230,55143,10/2/2023,Transfer
302013,Exempt,4104,18-2-S230,55143,12/2/2024,Transfer
304954,Non-Exempt,4104,18-40-1002,55123,3/16/2023,Transfer
304954,Non-Exempt,4104,18-40-1002,55123,6/1/2023,Transfer
304954,Non-Exempt,4104,18-40-1002,55123,3/14/2024,Transfer
304954,Non-Exempt,4104,18-40-1002,55123,11/13/2024,Transfer
319923,Non-Exempt,4104,18-41-1002,55120,11/20/2024,Transfer
323784,Non-Exempt,4104,18-745-100,55117,10/14/2024,Transfer
295155,Non-Exempt,4104,18-40-1001,55094,6/20/2022,Transfer
295155,Non-Exempt,4104,18-40-1001,55094,8/22/2022,Transfer
295155,Non-Exempt,4104,18-40-1001,55094,9/27/2022,Transfer
295155,Non-Exempt,4104,18-40-1001,55094,9/12/2023,Transfer
295155,Non-Exempt,4104,18-40-1001,55094,10/19/2023,Transfer
295155,Non-Exempt,4104,18-40-1001,55094,11/29/2023,Transfer
271367,Non-Exempt,4104,18-2-3070,55123,6/13/2022,Transfer
271367,Non-Exempt,4104,18-2-3070,55123,8/22/2022,Transfer
271367,Non-Exempt,4104,18-2-3070,55123,3/1/2023,Transfer
271367,Non-Exempt,4104,18-2-3070,55123,8/29/2023,Transfer
271367,Non-Exempt,4104,18-2-3070,55123,1/7/2025,Transfer
321747,Non-Exempt,4104,18-41-1002,55096,7/1/2024,Transfer
286358,Non-Exempt,4104,18-73-1000,55101,1/30/2024,Transfer
286358,Non-Exempt,4104,18-73-1000,55101,5/8/2024,Transfer
302606,Non-Exempt,4104,18-40-1002,55087,1/10/2023,Transfer
321640,Non-Exempt,4104,18-30-1002,55313,2/17/2025,Transfer
331019,Non-Exempt,4104,18-5-5100,55102,1/20/2025,Transfer
302770,Non-Exempt,4104,18-30-1002,55311,10/24/2023,Transfer
302770,Non-Exempt,4104,18-30-1002,55311,9/10/2024,Transfer
286159,Non-Exempt,4104,18-30-1000,55086,3/25/2024,Transfer
304650,Non-Exempt,4104,18-74-400,55109,3/20/2023,Transfer
304650,Non-Exempt,4104,18-74-400,55109,5/2/2023,Transfer
304651,Non-Exempt,4104,18-74-400,55109,3/20/2023,Transfer
304651,Non-Exempt,4104,18-74-400,55109,5/2/2023,Transfer
295005,Exempt,4104,18-2-S270,55311,3/20/2023,Transfer
295005,Exempt,4104,18-2-S270,55311,10/2/2023,Transfer
295005,Exempt,4104,18-2-S270,55311,1/16/2024,Transfer
295005,Exempt,4104,18-2-S270,55311,9/5/2024,Transfer
238209,Non-Exempt,4104,18-8-1005,55120,4/28/2022,Transfer
238209,Non-Exempt,4104,18-8-1005,55120,5/13/2024,Transfer
238209,Non-Exempt,4104,18-8-1005,55120,12/9/2024,Transfer
311371,Non-Exempt,4104,18-40-1002,55122,6/17/2024,Transfer
311371,Non-Exempt,4104,18-40-1002,55122,9/25/2024,Transfer
289384,Non-Exempt,4104,18-8-1004,55093,10/25/2021,Transfer
289384,Non-Exempt,4104,18-8-1004,55093,1/24/2022,Transfer
289384,Non-Exempt,4104,18-8-1004,55093,10/31/2022,Transfer
294919,Non-Exempt,4104,18-5-5100,55126,8/9/2022,Transfer
294919,Non-Exempt,4104,18-5-5100,55126,11/29/2022,Transfer
294919,Non-Exempt,4104,18-5-5100,55126,3/16/2023,Transfer
294919,Non-Exempt,4104,18-5-5100,55126,10/17/2023,Transfer
294919,Non-Exempt,4104,18-5-5100,55126,10/14/2024,Transfer
310921,Non-Exempt,4104,18-40-1002,55094,12/19/2023,Transfer
321967,Non-Exempt,4104,18-41-1002,55123,1/8/2025,Transfer
310498,Non-Exempt,4104,18-30-1001,55097,10/9/2023,Transfer
310498,Non-Exempt,4104,18-30-1001,55097,10/23/2023,Transfer
321841,Non-Exempt,4104,18-41-1002,55123,1/8/2025,Transfer
301486,Non-Exempt,4104,18-30-1002,55074,11/10/2022,Transfer
301486,Non-Exempt,4104,18-30-1002,55074,8/8/2023,Transfer
301486,Non-Exempt,4104,18-30-1002,55074,9/27/2023,Transfer
301486,Non-Exempt,4104,18-30-1002,55074,12/3/2024,Transfer
323503,Non-Exempt,4104,18-41-1002,55091,7/1/2024,Transfer
323503,Non-Exempt,4104,18-41-1002,55091,7/29/2024,Transfer
323503,Non-Exempt,4104,18-41-1002,55091,10/3/2024,Transfer
323503,Non-Exempt,4104,18-41-1002,55091,1/20/2025,Transfer
310425,Non-Exempt,4104,18-197-400,55105,9/14/2023,Transfer
310425,Non-Exempt,4104,18-197-400,55105,8/12/2024,Transfer
310425,Non-Exempt,4104,18-197-400,55105,10/18/2024,Transfer
323056,Non-Exempt,4104,18-47-400,55113,8/20/2024,Transfer
291838,Non-Exempt,4104,18-77-502,55113,2/24/2022,Transfer
291838,Non-Exempt,4104,18-77-502,55113,9/12/2022,Transfer
291838,Non-Exempt,4104,18-77-502,55113,5/2/2023,Transfer
291838,Non-Exempt,4104,18-77-502,55113,11/14/2023,Transfer
291838,Non-Exempt,4104,18-77-502,55113,1/3/2024,Transfer
291838,Non-Exempt,4104,18-77-502,55113,5/8/2024,Transfer
291838,Non-Exempt,4104,18-77-502,55113,6/17/2024,Transfer
122890,Non-Exempt,4104,18-40-1002,55085,6/16/2022,Transfer
310854,Non-Exempt,4104,18-40-1001,55311,8/1/2023,Transfer
310854,Non-Exempt,4104,18-40-1001,55311,11/29/2023,Transfer
310854,Non-Exempt,4104,18-40-1001,55311,2/6/2024,Transfer
310854,Non-Exempt,4104,18-40-1001,55311,7/1/2024,Transfer
310854,Non-Exempt,4104,18-40-1001,55311,10/2/2024,Transfer
299090,Exempt,4104,18-2-S270,55086,7/3/2023,Transfer
299090,Exempt,4104,18-2-S270,55086,12/16/2024,Transfer
321839,Non-Exempt,4104,18-796-501,55313,12/4/2024,Transfer
321578,Non-Exempt,4104,18-796-501,55074,12/4/2024,Transfer
296428,Non-Exempt,4104,18-77-101,55113,8/29/2022,Transfer
296428,Non-Exempt,4104,18-77-101,55113,9/27/2022,Transfer
296428,Non-Exempt,4104,18-77-101,55113,6/20/2023,Transfer
296428,Non-Exempt,4104,18-77-101,55113,8/1/2023,Transfer
296428,Non-Exempt,4104,18-77-101,55113,11/27/2023,Transfer
296428,Non-Exempt,4104,18-77-101,55113,2/6/2024,Transfer
296428,Non-Exempt,4104,18-77-101,55113,6/12/2024,Transfer
296428,Non-Exempt,4104,18-77-101,55113,7/29/2024,Transfer
305008,Exempt,4104,18-4-S428,55085,3/20/2023,Transfer
283194,Non-Exempt,4104,18-8-1006,55094,2/23/2023,Transfer
283194,Non-Exempt,4104,18-8-1006,55094,6/13/2023,Transfer
293357,Exempt,4104,18-1-S187,55105,11/30/2022,Transfer
293357,Exempt,4104,18-1-S187,55105,1/1/2023,Transfer
293357,Exempt,4104,18-1-S187,55105,8/19/2024,Transfer
296067,Exempt,4104,18-1-S194,55099,7/1/2024,Transfer
294563,Exempt,4104,18-2-S231,55812,6/19/2023,Transfer
294563,Exempt,4104,18-2-S231,55812,1/29/2024,Transfer
294563,Exempt,4104,18-2-S231,55812,1/27/2025,Transfer
310112,Non-Exempt,4104,18-30-1001,55101,5/21/2024,Transfer
315781,Non-Exempt,4104,18-8-1006,55094,11/15/2023,Transfer
295586,Non-Exempt,4104,18-8-1006,55094,11/10/2022,Transfer
323864,Non-Exempt,4104,18-47-101,55138,2/20/2025,Transfer
301462,Non-Exempt,4104,18-41-1003,55085,6/20/2023,Transfer
329681,Non-Exempt,4104,18-74-102,55138,2/3/2025,Transfer
303194,Non-Exempt,4104,18-30-1002,55085,5/3/2023,Transfer
317816,Non-Exempt,4104,18-41-1003,55094,3/25/2024,Transfer
317816,Non-Exempt,4104,18-41-1003,55094,4/2/2024,Transfer
323849,Non-Exempt,4104,18-40-1001,55100,9/24/2024,Transfer
323849,Non-Exempt,4104,18-40-1001,55100,10/21/2024,Transfer
318732,Non-Exempt,4104,18-30-1002,55313,2/24/2025,Transfer
306895,Non-Exempt,4104,18-40-1001,55089,10/10/2023,Transfer
306895,Non-Exempt,4104,18-40-1001,55089,11/30/2023,Transfer
317414,Non-Exempt,4104,18-197-400,55105,5/14/2024,Transfer
317414,Non-Exempt,4104,18-197-400,55105,11/18/2024,Transfer
312799,Non-Exempt,4104,18-41-1002,55094,7/8/2024,Transfer
312799,Non-Exempt,4104,18-41-1002,55094,8/20/2024,Transfer
322933,Non-Exempt,4104,18-41-1003,55094,8/22/2024,Transfer
318507,Non-Exempt,4104,18-40-1002,55089,6/5/2024,Transfer
309634,Non-Exempt,4104,18-197-400,55105,11/16/2023,Transfer
309634,Non-Exempt,4104,18-197-400,55105,7/30/2024,Transfer
309634,Non-Exempt,4104,18-197-400,55105,9/4/2024,Transfer
311423,Non-Exempt,4104,18-40-1002,55075,9/14/2023,Transfer
308118,Exempt,4104,18-4-S429,55133,11/20/2023,Transfer
308118,Exempt,4104,18-4-S429,55133,8/12/2024,Transfer
308118,Exempt,4104,18-4-S429,55133,11/6/2024,Transfer
323191,Non-Exempt,4104,18-5-5100,55113,11/15/2024,Transfer
323191,Non-Exempt,4104,18-5-5100,55113,1/16/2025,Transfer
323594,Non-Exempt,4104,18-199-501,55117,7/29/2024,Transfer
323594,Non-Exempt,4104,18-199-501,55117,10/3/2024,Transfer
309622,Exempt,4104,18-2-S231,55109,1/8/2024,Transfer
309622,Exempt,4104,18-2-S231,55109,5/13/2024,Transfer
307836,Non-Exempt,4104,18-40-1001,55091,10/1/2024,Transfer
283227,Non-Exempt,4104,18-5-5010,55105,2/13/2023,Transfer
283227,Non-Exempt,4104,18-5-5010,55105,4/17/2023,Transfer
283227,Non-Exempt,4104,18-5-5010,55105,11/13/2023,Transfer
279903,Non-Exempt,4104,18-2-3110,55076,3/22/2022,Transfer
300180,Non-Exempt,4104,18-198-501,55089,11/17/2022,Transfer
300180,Non-Exempt,4104,18-198-501,55089,7/12/2023,Transfer
300180,Non-Exempt,4104,18-198-501,55089,10/31/2023,Transfer
300180,Non-Exempt,4104,18-198-501,55089,1/16/2024,Transfer
320064,Non-Exempt,4104,18-199-501,55117,8/5/2024,Transfer
322719,Non-Exempt,4104,18-40-1002,55123,12/16/2024,Transfer
271423,Non-Exempt,4104,18-41-1002,55085,9/12/2023,Transfer
286492,Non-Exempt,4104,18-30-1001,55302,10/16/2023,Transfer
307404,Non-Exempt,4104,18-47-402,55138,7/17/2023,Transfer
307404,Non-Exempt,4104,18-47-402,55138,12/16/2024,Transfer
321573,Non-Exempt,4104,18-41-1003,55100,7/1/2024,Transfer
321573,Non-Exempt,4104,18-41-1003,55100,8/1/2024,Transfer
303978,Non-Exempt,4104,18-797-600,55105,8/1/2023,Transfer
319932,Non-Exempt,4104,18-197-400,55123,7/31/2024,Transfer
319932,Non-Exempt,4104,18-197-400,55123,9/4/2024,Transfer
319932,Non-Exempt,4104,18-197-400,55123,1/28/2025,Transfer
312960,Non-Exempt,4104,18-197-400,55105,6/5/2024,Transfer
312960,Non-Exempt,4104,18-197-400,55105,7/17/2024,Transfer
286531,Non-Exempt,4104,18-5-5080,55102,12/9/2024,Transfer
286531,Non-Exempt,4104,18-5-5080,55102,1/20/2025,Transfer
319145,Non-Exempt,4104,18-5-5030,55109,4/29/2024,Transfer
311454,Exempt,4104,18-4-S429,55106,1/13/2025,Transfer
311454,Exempt,4104,18-4-S429,55106,2/10/2025,Transfer
325575,Non-Exempt,4104,18-30-1003,55105,10/4/2024,Transfer
325575,Non-Exempt,4104,18-30-1003,55105,11/6/2024,Transfer
320455,Non-Exempt,4104,18-18-1023,55105,11/11/2024,Transfer
309292,Non-Exempt,4104,18-40-1001,55094,3/27/2024,Transfer
317069,Non-Exempt,4104,18-40-1001,55087,3/26/2024,Transfer
323807,Non-Exempt,4104,18-47-403,55138,10/14/2024,Transfer
323807,Non-Exempt,4104,18-47-403,55138,2/3/2025,Transfer
323791,Non-Exempt,4104,18-745-100,55117,10/14/2024,Transfer
301034,Non-Exempt,4104,18-30-1002,55094,1/3/2024,Transfer
308980,Non-Exempt,4104,18-47-401,55143,12/13/2023,Transfer
308980,Non-Exempt,4104,18-47-401,55143,4/2/2024,Transfer
323501,Non-Exempt,4104,18-41-1002,55091,7/1/2024,Transfer
323501,Non-Exempt,4104,18-41-1002,55091,10/3/2024,Transfer
323501,Non-Exempt,4104,18-41-1002,55091,1/20/2025,Transfer
307626,Non-Exempt,4104,18-41-1002,55123,8/22/2023,Transfer
307626,Non-Exempt,4104,18-41-1002,55123,11/9/2023,Transfer
307626,Non-Exempt,4104,18-41-1002,55123,12/5/2023,Transfer
307626,Non-Exempt,4104,18-41-1002,55123,12/12/2023,Transfer
307626,Non-Exempt,4104,18-41-1002,55123,11/19/2024,Transfer
310673,Non-Exempt,4104,18-40-1002,55311,10/19/2023,Transfer
322142,Non-Exempt,4104,18-41-1002,55123,1/6/2025,Transfer
276706,Non-Exempt,4104,18-5-5030,55109,6/13/2023,Transfer
276706,Non-Exempt,4104,18-5-5030,55109,7/17/2023,Transfer
276706,Non-Exempt,4104,18-5-5030,55109,1/8/2024,Transfer
276706,Non-Exempt,4104,18-5-5030,55109,4/22/2024,Transfer
276706,Non-Exempt,4104,18-5-5030,55109,8/13/2024,Transfer
306832,Non-Exempt,4104,18-30-1003,55123,3/28/2024,Transfer
306832,Non-Exempt,4104,18-30-1003,55123,10/28/2024,Transfer
310636,Non-Exempt,4104,18-41-1002,55094,8/17/2023,Transfer
310636,Non-Exempt,4104,18-41-1002,55094,11/3/2023,Transfer
276725,Non-Exempt,4104,18-41-1001,55089,11/28/2023,Transfer
320592,Non-Exempt,4104,18-47-601,55109,7/30/2024,Transfer
328244,Non-Exempt,4104,18-5-5060,55099,1/15/2025,Transfer
318113,Non-Exempt,4104,18-198-400,55107,3/26/2024,Transfer
318113,Non-Exempt,4104,18-198-400,55107,4/9/2024,Transfer
322316,Non-Exempt,4104,18-41-1003,55101,9/24/2024,Transfer
307531,Non-Exempt,4104,18-41-1002,55123,10/2/2023,Transfer
307531,Non-Exempt,4104,18-41-1002,55123,3/12/2024,Transfer
307531,Non-Exempt,4104,18-41-1002,55123,12/16/2024,Transfer
282766,Non-Exempt,4104,18-2-3230,55090,3/21/2022,Transfer
282766,Non-Exempt,4104,18-2-3230,55090,4/25/2022,Transfer
282766,Non-Exempt,4104,18-2-3230,55090,8/30/2022,Transfer
282766,Non-Exempt,4104,18-2-3230,55090,2/23/2023,Transfer
282766,Non-Exempt,4104,18-2-3230,55090,7/17/2023,Transfer
282766,Non-Exempt,4104,18-2-3230,55090,7/31/2023,Transfer
285987,Non-Exempt,4104,18-40-1002,55090,3/2/2023,Transfer
312374,Non-Exempt,4104,18-8-1004,55105,1/25/2024,Transfer
292370,Non-Exempt,4104,18-77-501,55113,3/28/2022,Transfer
292370,Non-Exempt,4104,18-77-501,55113,8/4/2022,Transfer
292370,Non-Exempt,4104,18-77-501,55113,11/29/2022,Transfer
292370,Non-Exempt,4104,18-77-501,55113,2/21/2023,Transfer
292370,Non-Exempt,4104,18-77-501,55113,6/1/2023,Transfer
292370,Non-Exempt,4104,18-77-501,55113,7/12/2023,Transfer
292370,Non-Exempt,4104,18-77-501,55113,7/24/2023,Transfer
292370,Non-Exempt,4104,18-77-501,55113,8/15/2023,Transfer
292370,Non-Exempt,4104,18-77-501,55113,8/20/2024,Transfer
292370,Non-Exempt,4104,18-77-501,55113,11/11/2024,Transfer
292370,Non-Exempt,4104,18-77-501,55113,2/3/2025,Transfer
324635,Non-Exempt,4104,18-297-410,55105,9/11/2024,Transfer
310159,Exempt,4104,18-1-S187,55143,11/30/2023,Transfer
310159,Exempt,4104,18-1-S187,55143,2/5/2024,Transfer
310159,Exempt,4104,18-1-S187,55143,4/2/2024,Transfer
310159,Exempt,4104,18-1-S187,55143,5/8/2024,Transfer
301201,Exempt,4104,18-5-S507,55086,9/2/2024,Transfer
301201,Non-Exempt,4104,18-5-S507,55086,11/8/2022,Transfer
301201,Non-Exempt,4104,18-5-S507,55086,6/19/2023,Transfer
317637,Non-Exempt,4104,18-198-400,55107,3/20/2024,Transfer
243129,Non-Exempt,4104,18-41-1003,55086,1/3/2023,Transfer
243129,Non-Exempt,4104,18-41-1003,55086,1/18/2023,Transfer
306295,Non-Exempt,4104,18-41-1001,55123,10/17/2023,Transfer
306295,Non-Exempt,4104,18-41-1001,55123,11/28/2023,Transfer
306295,Non-Exempt,4104,18-41-1001,55123,12/25/2023,Transfer
306295,Non-Exempt,4104,18-41-1001,55123,8/13/2024,Transfer
314041,Non-Exempt,4104,18-40-1002,55100,7/31/2024,Transfer
314041,Non-Exempt,4104,18-40-1002,55100,10/21/2024,Transfer
292666,Non-Exempt,4104,18-47-403,55138,5/19/2022,Transfer
292666,Non-Exempt,4104,18-47-403,55138,5/1/2023,Transfer
292666,Non-Exempt,4104,18-47-403,55138,7/11/2024,Transfer
295099,Non-Exempt,4104,18-41-1003,55093,10/31/2022,Transfer
295099,Non-Exempt,4104,18-41-1003,55093,6/27/2023,Transfer
271364,Non-Exempt,4104,18-8-1005,55094,7/25/2022,Transfer
271364,Non-Exempt,4104,18-8-1005,55094,11/3/2022,Transfer
324161,Non-Exempt,4104,18-30-1000,55311,9/3/2024,Transfer
317401,Non-Exempt,4104,18-197-400,55105,5/14/2024,Transfer
317401,Non-Exempt,4104,18-197-400,55105,11/18/2024,Transfer
307453,Non-Exempt,4104,18-199-101,55117,6/19/2023,Transfer
307453,Non-Exempt,4104,18-199-101,55117,3/26/2024,Transfer
324092,Non-Exempt,4104,18-47-402,55138,12/16/2024,Transfer
302886,Exempt,4104,18-2-S222,55091,3/27/2023,Transfer
289821,Exempt,4104,18-2-S268,55087,6/24/2024,Transfer
289821,Exempt,4104,18-2-S268,55087,10/28/2024,Transfer
289821,Non-Exempt,4104,18-2-S268,55087,3/29/2022,Transfer
289821,Non-Exempt,4104,18-2-S268,55087,6/6/2022,Transfer
289821,Non-Exempt,4104,18-2-S268,55087,7/3/2023,Transfer
289821,Non-Exempt,4104,18-2-S268,55087,9/11/2023,Transfer
289821,Non-Exempt,4104,18-2-S268,55087,11/13/2023,Transfer
307564,Non-Exempt,4104,18-41-1002,55109,6/20/2023,Transfer
307564,Non-Exempt,4104,18-41-1002,55109,11/20/2024,Transfer
310145,Non-Exempt,4104,18-77-703,55138,8/20/2024,Transfer
296513,Non-Exempt,4104,18-8-1005,55097,8/18/2022,Transfer
